"delivery_id","total_cbm","delivery_date","metro_name","city","zip","population","lat","lng"
"34086",0.532753,2022-02-14,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"33776",0.532753,2022-02-11,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"25921",0.6018309,2022-02-04,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"27016",0.477057,2022-01-19,"Los Angeles, CA",Los Angeles,"90065",46461.0,34.10889,-118.22759
"31752",0.4,2022-02-07,"Los Angeles, CA",Los Angeles,"90067",2428.0,34.0577,-118.41402
"32550",0.57900375,2022-02-22,"Los Angeles, CA",Los Angeles,"90067",2428.0,34.0577,-118.41402
"36804",2.1777895000000003,2022-03-01,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"24984",0.5329309,2022-01-31,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"30105",0.5472,2022-02-01,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"30626",0.744533,2022-02-02,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"30260",0.248724,2022-02-01,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"25028",1.0210155,2022-01-11,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"25681",1.69912,2022-01-12,"Los Angeles, CA",West Hollywood,"90069",20230.0,34.09386,-118.38171
"27949",0.493039,2022-01-21,"Los Angeles, CA",Beverly Hills,"90210",19314.0,34.10103,-118.41475
"27338",0.625118,2022-01-20,"Los Angeles, CA",Compton,"90222",33200.0,33.91238,-118.2365
"36761",0.625118,2022-03-01,"Los Angeles, CA",Compton,"90222",33200.0,33.91238,-118.2365
"31260",0.625118,2022-02-11,"Los Angeles, CA",Compton,"90222",33200.0,33.91238,-118.2365
"33623",0.6070455,2022-02-22,"Los Angeles, CA",Malibu,"90265",17954.0,34.07191,-118.84989
"36155",0.5329309,2022-02-24,"Los Angeles, CA",Pacific Palisades,"90272",21629.0,34.07991,-118.54219
"22150",0.911288,2022-01-17,"Los Angeles, CA",Pacific Palisades,"90272",21629.0,34.07991,-118.54219
"31370",0.248724,2022-02-07,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"36447",1.420146,2022-03-01,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"34170",0.57900375,2022-02-15,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"29972",1.032185,2022-02-02,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"31670",0.287823375,2022-02-07,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"25094",1.311843,2022-01-14,"Los Angeles, CA",Rancho Palos Verdes,"90275",42146.0,33.75545,-118.36393
"37754",0.5472,2022-03-04,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"30382",0.56496,2022-02-02,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"34600",1.69912,2022-02-16,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"30434",0.712746,2022-02-02,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"24961",0.503343,2022-01-24,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"32236",1.3961145,2022-02-08,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"25305",1.075604,2022-01-11,"Los Angeles, CA",Redondo Beach,"90278",40252.0,33.87325,-118.37037
"31451",1.714314,2022-02-07,"Los Angeles, CA",Topanga,"90290",5681.0,34.09588,-118.60707
"37034",1.5974995,2022-03-02,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"27604",0.248724,2022-01-28,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"33902",0.532753,2022-02-14,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"29479",0.647424736,2022-01-28,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"21227",0.300762,2022-01-28,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"34973",0.252454,2022-02-17,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"32729",0.46486400000000005,2022-02-09,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"31352",0.647424736,2022-02-23,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"29424",2.005688,2022-01-28,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"37378",0.647424736,2022-03-03,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"31397",0.5472,2022-02-08,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"35825",0.27716,2022-02-23,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"31439",2.902146,2022-02-07,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
"31249",0.503343,2022-02-04,"Los Angeles, CA",Marina Del Rey,"90292",23549.0,33.97831,-118.44761
